0	0
0.005	0.297514288513588
0.01	0.391145656053487
0.02	0.503695953781917
0.04	0.63579549909061
0.06	0.724069266967718
0.08	0.793713226155165
0.1	0.85332186139166
0.12	0.906826561544739
0.14	0.956325850891597
0.16	1.00305494419816
0.18	1.04779224383917
0.2	1.09105376058766
0.22	1.13319525096968
0.24	1.1744698061895
0.26	1.21506217315526
0.28	1.25511014386525
0.3	1.29471838662755
0.32	1.33396767155176
0.34	1.37292118894648
0.36	1.41162897671702
0.38	1.45013108523
0.4	1.48845987980091
0.42	1.52664174215576
0.44	1.56469834544479
0.46	1.60264762178479
0.48	1.640504504885
0.5	1.6782815059771
0.52	1.71598916471652
0.54	1.7536364052791
0.56	1.79123081984697
0.58	1.82877889596621
0.6	1.86628620014545
0.62	1.90375752706709
0.64	1.94119702157636
0.66	1.97860827897141
0.68	2.01599442788562
0.7	2.05335819912038
0.72	2.09070198307417
0.74	2.12802787786621
0.76	2.16533772982865
0.78	2.20263316771025
0.8	2.23991563167491
